地區,項目,性別,年齡,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼,年齡區間
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,65歲以上,2,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,20~24歲,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,25~29歲,6,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,30~34歲,8,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,35~39歲,15,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,40~44歲,2,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,45~49歲,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,50~54歲,6,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,55~59歲,1,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,60~64歲,3,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,65歲以上,1,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,20~24歲,8,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,25~29歲,10,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,30~34歲,38,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,35~39歲,36,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,40~44歲,36,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,45~49歲,33,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,50~54歲,21,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,55~59歲,16,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,60~64歲,7,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,65歲以上,10,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,15~19歲,2,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,20~24歲,19,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,25~29歲,17,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,30~34歲,34,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,35~39歲,45,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,40~44歲,41,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,45~49歲,24,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,50~54歲,21,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,55~59歲,5,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,60~64歲,3,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市東區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,65歲以上,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,20~24歲,7,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,25~29歲,22,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,30~34歲,43,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,35~39歲,72,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,40~44歲,62,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,45~49歲,47,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,50~54歲,25,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,55~59歲,25,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,60~64歲,13,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,65歲以上,8,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,20~24歲,14,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,25~29歲,41,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,30~34歲,60,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,35~39歲,64,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,40~44歲,66,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,45~49歲,30,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,50~54歲,18,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,55~59歲,21,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,60~64歲,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市南區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,65歲以上,6,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,20~24歲,2,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,25~29歲,8,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,30~34歲,31,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,35~39歲,46,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,40~44歲,50,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,45~49歲,33,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,50~54歲,36,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,55~59歲,13,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,60~64歲,13,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,65歲以上,12,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,20~24歲,6,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,15~19歲,3,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,25~29歲,24,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,30~34歲,39,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,35~39歲,43,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,40~44歲,55,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,45~49歲,29,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,50~54歲,21,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,55~59歲,14,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,60~64歲,6,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市西區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,65歲以上,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,20~24歲,13,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,25~29歲,21,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,30~34歲,54,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,35~39歲,80,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,40~44歲,54,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,45~49歲,60,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,50~54歲,42,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,55~59歲,26,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,60~64歲,18,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,65歲以上,21,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,65歲以上
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,20~24歲,18,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,25~29歲,36,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,30~34歲,67,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,35~39歲,90,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,40~44歲,67,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,45~49歲,40,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市北區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),女,50~54歲,40,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
